72,28,0
28,72,0
43,57,0
62,17,21
22,39,39
44,56,0
17,83,0
11,89,0
74,26,0
6,94,0
64,36,0
100,0,0
59,41,0
49,51,0
57,43,0
75,25,0
26,74,0
43,57,0
61,17,22
23,37,40
44,56,0
17,83,0
10,90,0
74,26,0
6,94,0
59,41,0
100,0,0
64,36,0
47,53,0
54,46,0
72,28,0
28,72,0
47,53,0
61,17,22
22,40,40
42,58,0
16,84,0
11,89,0
75,25,0
6,94,0
61,39,0
100,0,0
62,38,0
49,51,0
54,46,0
74,26,0
28,72,0
46,54,0
61,17,22
22,40,40
46,54,0
16,84,0
11,89,0
72,28,0
6,94,0
62,38,0
100,0,0
58,42,0
48,52,0
54,46,0
72,28,0
28,72,0
46,54,0
62,16,22
23,39,40
42,58,0
17,83,0
10,90,0
74,26,0
6,94,0
61,39,0
100,0,0
59,41,0
49,51,0
56,44,0
69,31,0
26,74,0
45,55,0
59,18,23
24,38,40
44,56,0
16,84,0
11,89,0
69,31,0
6,94,0
62,38,0
100,0,0
63,37,0
49,51,0
56,44,0
69,31,0
28,72,0
45,55,0
59,19,24
22,40,40
45,55,0
17,83,0
10,90,0
69,31,0
6,94,0
59,41,0
100,0,0
59,41,0
49,51,0
58,42,0
68,32,0
27,73,0
44,56,0
62,18,24
24,37,41
43,57,0
16,84,0
11,89,0
74,26,0
5,95,0
62,38,0
100,0,0
58,42,0
48,52,0
56,44,0
70,30,0
29,71,0
46,54,0
61,19,24
23,40,41
44,56,0
17,83,0
10,90,0
70,30,0
5,95,0
64,36,0
100,0,0
58,42,0
52,48,0
58,42,0
68,32,0
26,74,0
43,57,0
64,17,29
23,40,41
44,56,0
16,84,0
10,90,0
72,28,0
6,94,0
57,43,0
100,0,0
64,36,0
50,50,0
58,42,0
69,31,0
26,74,0
46,54,0
62,18,24
27,39,38
44,56,0
17,83,0
11,89,0
74,26,0
5,95,0
62,38,0
100,0,0
64,36,0
48,52,0
54,46,0
69,31,0
28,72,0
43,57,0
61,19,24
24,39,41
44,56,0
16,84,0
11,89,0
69,31,0
6,94,0
59,41,0
100,0,0
63,37,0
52,48,0
54,46,0
72,28,0
29,71,0
46,54,0
60,20,24
25,38,41
43,57,0
16,84,0
10,90,0
71,29,0
6,94,0
60,40,0
100,0,0
63,37,0
52,48,0
54,46,0
69,31,0
28,72,0
45,55,0
61,19,24
25,40,39
44,56,0
17,83,0
11,89,0
69,31,0
5,95,0
61,39,0
100,0,0
59,41,0
48,52,0
54,46,0
69,31,0
27,73,0
45,55,0
62,18,24
26,39,41
44,56,0
16,84,0
11,89,0
70,30,0
5,95,0
62,38,0
100,0,0
60,40,0
51,49,0
56,44,0
74,26,0
28,72,0
43,57,0
60,19,25
26,39,41
45,55,0
17,83,0
10,90,0
69,31,0
5,95,0
61,39,0
100,0,0
63,37,0
48,52,0
54,46,0
74,26,0
27,73,0
44,56,0
62,18,24
24,41,41
43,57,0
17,83,0
11,89,0
72,28,0
6,94,0
59,41,0
100,0,0
58,42,0
50,50,0
54,46,0
68,32,0
27,73,0
45,55,0
61,19,24
25,40,41
43,57,0
16,84,0
11,89,0
73,27,0
5,95,0
62,38,0
100,0,0
58,42,0
49,51,0
56,44,0
69,31,0
27,73,0
44,56,0
62,20,22
23,41,42
46,54,0
17,83,0
10,90,0
69,31,0
6,94,0
61,39,0
100,0,0
63,37,0
48,52,0
54,46,0
72,28,0
27,73,0
45,55,0
62,20,24
25,41,42
43,57,0
17,83,0
10,90,0
69,31,0
5,95,0
62,38,0
100,0,0
57,43,0
51,49,0
57,43,0
